name
"Venus: Shock troops"
"Mercury"
Slingshot
"Mushroom"
"Luna"
Billboard
"Mars"
"Floating Screen"
"Deimos"
"Phobos"
"Laser Broom"
"Vesta"
Slingshot
"Callisto"
"Col. Jiao"
"Sky Spore"
"Sky Spore"
"Red+ Mercy"
PopFixx Boosters
"Sky Spore"
"Ground Spore"
"Dispersal Unit"
Pollen
"Io"
"NexusCrop Decimator"
"Col. Richlieu"
"Jupiter"
"Red+ Mercy"
Pollen
"Ground Spore"
"Sky Spore"
"Ground Spore"
Billboard
"Sky Spore"
"Ground Spore"
"Ground Spore"
"Sky Spore"
"Laser Broom"
"Floating Screen"
"Mushroom"
"Dispersal Unit"
